Gene Name	Ensembl Gene ID	Known or Novel	Acinar	Alpha	Beta
POP5	ENSG00000167272.6	Known	No	Yes	Yes
RP11-216P16.2	ENSG00000271769.1	Known	No	Yes	Yes
RP11-2E11.10	ENSG00000272701.1	Known	No	Yes	Yes
RP3-512B11.3	ENSG00000261189.1	Known	No	Yes	Yes
RP5-1120P11.1	ENSG00000237686.2	Known	No	Yes	Yes
RPS24	ENSG00000138326.14	Known	No	Yes	Yes
SBNO1	ENSG00000139697.7	Known	No	Yes	Yes
SCRT1	ENSG00000170616.9	Known	No	Yes	Yes
SETD8	ENSG00000183955.8	Known	No	Yes	Yes
SLC1A2	ENSG00000110436.7	Known	No	Yes	Yes
SLC2A2	ENSG00000163581.9	Known	No	Yes	Yes
SMCO4	ENSG00000166002.2	Known	No	Yes	Yes
SNAPC2	ENSG00000104976.7	Known	No	Yes	Yes
SPPL3	ENSG00000157837.11	Known	No	Yes	Yes
STK31	ENSG00000196335.8	Known	No	Yes	Yes
TCF12	ENSG00000140262.13	Known	No	Yes	Yes
THADA	ENSG00000115970.14	Known	No	Yes	Yes
UNC119B	ENSG00000175970.7	Known	No	Yes	Yes
WDR41	ENSG00000164253.8	Known	No	Yes	Yes
YKT6	ENSG00000106636.3	Known	No	Yes	Yes
ZMIZ1	ENSG00000108175.12	Known	No	Yes	Yes
ZMIZ1-AS1	ENSG00000224596.3	Known	No	Yes	Yes
ABCA2	ENSG00000107331.12	Novel	Yes	Yes	Yes
ABCC5-AS1	ENSG00000223882.1	Novel	Yes	Yes	Yes
AC005082.12	ENSG00000226816.2	Novel	Yes	Yes	Yes
AC005523.3	ENSG00000268536.1	Novel	Yes	Yes	Yes
AC010336.1	ENSG00000214248.2	Novel	Yes	Yes	Yes
AC093323.3	ENSG00000170846.11	Novel	Yes	Yes	Yes
ALDOA	ENSG00000149925.12	Novel	Yes	Yes	Yes
ALOXE3	ENSG00000179148.5	Novel	Yes	Yes	Yes
ALS2CL	ENSG00000178038.12	Novel	Yes	Yes	Yes
ANKRD11	ENSG00000167522.10	Novel	Yes	Yes	Yes
ATP5I	ENSG00000169020.5	Novel	Yes	Yes	Yes
ATXN2L	ENSG00000168488.14	Novel	Yes	Yes	Yes
AXIN1	ENSG00000103126.10	Novel	Yes	Yes	Yes
BLOC1S4	ENSG00000186222.3	Novel	Yes	Yes	Yes
C20orf195	ENSG00000125531.5	Novel	Yes	Yes	Yes
C6orf1	ENSG00000186577.7	Novel	Yes	Yes	Yes
C6orf106	ENSG00000196821.5	Novel	Yes	Yes	Yes
C8G	ENSG00000176919.7	Novel	Yes	Yes	Yes
C9orf3	ENSG00000148120.10	Novel	Yes	Yes	Yes
CABP1	ENSG00000157782.5	Novel	Yes	Yes	Yes
CARS	ENSG00000110619.12	Novel	Yes	Yes	Yes
CCDC12	ENSG00000160799.7	Novel	Yes	Yes	Yes
CCDC126	ENSG00000169193.7	Novel	Yes	Yes	Yes
CCDC88C	ENSG00000015133.14	Novel	Yes	Yes	Yes
CCNE2	ENSG00000175305.12	Novel	Yes	Yes	Yes
CDC42SE1	ENSG00000197622.8	Novel	Yes	Yes	Yes
CDKL3	ENSG00000006837.7	Novel	Yes	Yes	Yes
CDKN2AIPNL	ENSG00000237190.3	Novel	Yes	Yes	Yes
CERS1	ENSG00000223802.3	Novel	Yes	Yes	Yes
CFDP1	ENSG00000153774.4	Novel	Yes	Yes	Yes
CHD3	ENSG00000170004.12	Novel	Yes	Yes	Yes
CHRNB1	ENSG00000170175.6	Novel	Yes	Yes	Yes
CILP2	ENSG00000160161.5	Novel	Yes	Yes	Yes
CNTROB	ENSG00000170037.9	Novel	Yes	Yes	Yes
COPE	ENSG00000105669.8	Novel	Yes	Yes	Yes
COQ5	ENSG00000110871.10	Novel	Yes	Yes	Yes
CPLX1	ENSG00000168993.10	Novel	Yes	Yes	Yes
CRMP1	ENSG00000072832.10	Novel	Yes	Yes	Yes
CTC-425F1.4	ENSG00000267458.1	Novel	Yes	Yes	Yes
CTD-2366F13.1	ENSG00000247796.2	Novel	Yes	Yes	Yes
CTD-2410N18.3	ENSG00000270177.1	Novel	Yes	Yes	Yes
CTD-3195I5.5	ENSG00000262194.1	Novel	Yes	Yes	Yes
CUX1	ENSG00000257923.5	Novel	Yes	Yes	Yes
CYB5D1	ENSG00000182224.7	Novel	Yes	Yes	Yes
CYHR1	ENSG00000187954.8	Novel	Yes	Yes	Yes
DDX42	ENSG00000198231.8	Novel	Yes	Yes	Yes
DDX49	ENSG00000105671.7	Novel	Yes	Yes	Yes
DENND6B	ENSG00000205593.7	Novel	Yes	Yes	Yes
DGKQ	ENSG00000145214.9	Novel	Yes	Yes	Yes
DNAH2	ENSG00000183914.10	Novel	Yes	Yes	Yes
DNLZ	ENSG00000213221.4	Novel	Yes	Yes	Yes
DPP9	ENSG00000142002.12	Novel	Yes	Yes	Yes
EFNB3	ENSG00000108947.4	Novel	Yes	Yes	Yes
EIF2S2	ENSG00000125977.6	Novel	Yes	Yes	Yes
EIF3M	ENSG00000149100.8	Novel	Yes	Yes	Yes
ELL	ENSG00000105656.8	Novel	Yes	Yes	Yes
ENTPD2	ENSG00000054179.7	Novel	Yes	Yes	Yes
ETV5	ENSG00000244405.3	Novel	Yes	Yes	Yes
FAM105A	ENSG00000145569.5	Novel	Yes	Yes	Yes
FAM57B	ENSG00000149926.9	Novel	Yes	Yes	Yes
FBXW5	ENSG00000159069.9	Novel	Yes	Yes	Yes
FEM1A	ENSG00000141965.3	Novel	Yes	Yes	Yes
FGF11	ENSG00000161958.6	Novel	Yes	Yes	Yes
FNBP4	ENSG00000109920.8	Novel	Yes	Yes	Yes
FRMD8	ENSG00000126391.9	Novel	Yes	Yes	Yes
FUT7	ENSG00000180549.7	Novel	Yes	Yes	Yes
FXR2	ENSG00000129245.7	Novel	Yes	Yes	Yes
GPBP1	ENSG00000062194.11	Novel	Yes	Yes	Yes
GS1-393G12.12	ENSG00000254690.1	Novel	Yes	Yes	Yes
GUCY2D	ENSG00000132518.6	Novel	Yes	Yes	Yes
HDAC10	ENSG00000100429.13	Novel	Yes	Yes	Yes
HELZ2	ENSG00000130589.12	Novel	Yes	Yes	Yes
HK1	ENSG00000156515.17	Novel	Yes	Yes	Yes
IDUA	ENSG00000127415.8	Novel	Yes	Yes	Yes
INHBB	ENSG00000163083.5	Novel	Yes	Yes	Yes
ITFG3	ENSG00000167930.11	Novel	Yes	Yes	Yes
ITIH4	ENSG00000055955.11	Novel	Yes	Yes	Yes
JAKMIP1	ENSG00000152969.12	Novel	Yes	Yes	Yes
KCNK15	ENSG00000124249.5	Novel	Yes	Yes	Yes
KDSR	ENSG00000119537.11	Novel	Yes	Yes	Yes
KIAA0232	ENSG00000170871.7	Novel	Yes	Yes	Yes
KIAA1875	ENSG00000179698.9	Novel	Yes	Yes	Yes
KIF18A	ENSG00000121621.6	Novel	Yes	Yes	Yes
KIFC2	ENSG00000167702.7	Novel	Yes	Yes	Yes
KLHL18	ENSG00000114648.7	Novel	Yes	Yes	Yes
KLHL7	ENSG00000122550.13	Novel	Yes	Yes	Yes
KLHL7-AS1	ENSG00000230658.1	Novel	Yes	Yes	Yes
LCN12	ENSG00000184925.7	Novel	Yes	Yes	Yes
LIMD2	ENSG00000136490.4	Novel	Yes	Yes	Yes
LRRC24	ENSG00000254402.2	Novel	Yes	Yes	Yes
LSMD1	ENSG00000183011.9	Novel	Yes	Yes	Yes
MAF 1.00	ENSG00000179632.5	Novel	Yes	Yes	Yes
MALSU1	ENSG00000156928.4	Novel	Yes	Yes	Yes
MAMDC4	ENSG00000177943.9	Novel	Yes	Yes	Yes
MAPK12	ENSG00000188130.9	Novel	Yes	Yes	Yes
5-Mar	ENSG00000198060.5	Novel	Yes	Yes	Yes
MCL1	ENSG00000143384.8	Novel	Yes	Yes	Yes
MFSD7	ENSG00000169026.8	Novel	Yes	Yes	Yes
MIR7-3HG	ENSG00000176840.7	Novel	Yes	Yes	Yes
MNX1-AS1	ENSG00000243479.3	Novel	Yes	Yes	Yes
MNX1-AS2	ENSG00000235029.1	Novel	Yes	Yes	Yes
MOCS2	ENSG00000164172.14	Novel	Yes	Yes	Yes
MRFAP1	ENSG00000179010.10	Novel	Yes	Yes	Yes
MRFAP1L1	ENSG00000178988.10	Novel	Yes	Yes	Yes
MROH1	ENSG00000179832.13	Novel	Yes	Yes	Yes
MYL5	ENSG00000215375.2	Novel	Yes	Yes	Yes
NAP1L4	ENSG00000205531.8	Novel	Yes	Yes	Yes
NBEAL2	ENSG00000160796.12	Novel	Yes	Yes	Yes
NCOR2	ENSG00000196498.9	Novel	Yes	Yes	Yes
NDUFS4	ENSG00000164258.7	Novel	Yes	Yes	Yes
NEAT1	ENSG00000245532.4	Novel	Yes	Yes	Yes
NFATC2IP	ENSG00000176953.6	Novel	Yes	Yes	Yes
NLGN2	ENSG00000169992.5	Novel	Yes	Yes	Yes
NR2C2AP	ENSG00000184162.10	Novel	Yes	Yes	Yes
OGDH	ENSG00000105953.10	Novel	Yes	Yes	Yes
OPRL1	ENSG00000125510.11	Novel	Yes	Yes	Yes
P2RX7	ENSG00000089041.12	Novel	Yes	Yes	Yes
PABPC1L	ENSG00000101104.8	Novel	Yes	Yes	Yes
PCAT7	ENSG00000231806.2	Novel	Yes	Yes	Yes
PER1	ENSG00000179094.9	Novel	Yes	Yes	Yes
PIGG	ENSG00000174227.11	Novel	Yes	Yes	Yes
PLIN3	ENSG00000105355.4	Novel	Yes	Yes	Yes
PLXNB2	ENSG00000196576.10	Novel	Yes	Yes	Yes
POLR2A	ENSG00000181222.10	Novel	Yes	Yes	Yes
PPP1R16A	ENSG00000160972.5	Novel	Yes	Yes	Yes
PPP2CA	ENSG00000113575.5	Novel	Yes	Yes	Yes
PRPF6	ENSG00000101161.6	Novel	Yes	Yes	Yes
PRRG4	ENSG00000135378.3	Novel	Yes	Yes	Yes
PSMA1	ENSG00000129084.13	Novel	Yes	Yes	Yes
PSMA1	ENSG00000256206.2	Novel	Yes	Yes	Yes
PTPMT1	ENSG00000110536.9	Novel	Yes	Yes	Yes
RAB11FIP4	ENSG00000131242.11	Novel	Yes	Yes	Yes
RABL6	ENSG00000196642.11	Novel	Yes	Yes	Yes
RAD23A	ENSG00000179262.5	Novel	Yes	Yes	Yes
RAD54B	ENSG00000197275.8	Novel	Yes	Yes	Yes
RALB	ENSG00000144118.9	Novel	Yes	Yes	Yes
RBX1	ENSG00000100387.8	Novel	Yes	Yes	Yes
RGS19	ENSG00000171700.9	Novel	Yes	Yes	Yes
RILPL1	ENSG00000188026.7	Novel	Yes	Yes	Yes
RNF10	ENSG00000022840.11	Novel	Yes	Yes	Yes
RP1-28H20.3	ENSG00000271784.1	Novel	Yes	Yes	Yes
RP1-80N2.3	ENSG00000261211.1	Novel	Yes	Yes	Yes
RP11-10L12.4	ENSG00000246560.2	Novel	Yes	Yes	Yes
RP11-129B22.1	ENSG00000241111.1	Novel	Yes	Yes	Yes
RP11-140K17.3	ENSG00000272288.1	Novel	Yes	Yes	Yes
RP11-215P8.3	ENSG00000248559.1	Novel	Yes	Yes	Yes
RP11-22C11.2	ENSG00000261437.1	Novel	Yes	Yes	Yes
RP11-22P6.2	ENSG00000261766.1	Novel	Yes	Yes	Yes
RP11-22P6.3	ENSG00000260442.1	Novel	Yes	Yes	Yes
RP11-245J9.4	ENSG00000243410.1	Novel	Yes	Yes	Yes
RP11-400F19.6	ENSG00000266962.1	Novel	Yes	Yes	Yes
RP11-440L14.1	ENSG00000249592.1	Novel	Yes	Yes	Yes
RP11-463O12.3	ENSG00000256152.2	Novel	Yes	Yes	Yes
RP11-499E18.1	ENSG00000248161.1	Novel	Yes	Yes	Yes
RP11-539L10.3	ENSG00000251580.1	Novel	Yes	Yes	Yes
RP11-53O19.1	ENSG00000251141.1	Novel	Yes	Yes	Yes
RP11-57H14.2	ENSG00000233547.1	Novel	Yes	Yes	Yes
RP11-586D19.1	ENSG00000249896.1	Novel	Yes	Yes	Yes
RP11-635N19.1	ENSG00000267390.1	Novel	Yes	Yes	Yes
RP11-708J19.1	ENSG00000260236.1	Novel	Yes	Yes	Yes
RP3-402G11.25	ENSG00000273188.1	Novel	Yes	Yes	Yes
RP4-597N16.4	ENSG00000273416.1	Novel	Yes	Yes	Yes
RP5-1013A22.5	ENSG00000273283.1	Novel	Yes	Yes	Yes
RPL8	ENSG00000161016.11	Novel	Yes	Yes	Yes
RPS10	ENSG00000124614.9	Novel	Yes	Yes	Yes
RRAGA	ENSG00000155876.4	Novel	Yes	Yes	Yes
S100P	ENSG00000163993.6	Novel	Yes	Yes	Yes
SAE1	ENSG00000142230.7	Novel	Yes	Yes	Yes
SAFB2	ENSG00000130254.7	Novel	Yes	Yes	Yes
SAMD10	ENSG00000130590.9	Novel	Yes	Yes	Yes
SEC16A	ENSG00000148396.14	Novel	Yes	Yes	Yes
SENP3	ENSG00000161956.8	Novel	Yes	Yes	Yes
SERINC3	ENSG00000132824.9	Novel	Yes	Yes	Yes
SERTAD2	ENSG00000179833.4	Novel	Yes	Yes	Yes
SETD2	ENSG00000181555.15	Novel	Yes	Yes	Yes
SGCB	ENSG00000163069.8	Novel	Yes	Yes	Yes
SH2B1	ENSG00000178188.10	Novel	Yes	Yes	Yes
SHARPIN	ENSG00000179526.12	Novel	Yes	Yes	Yes
SKP1	ENSG00000113558.14	Novel	Yes	Yes	Yes
SLC25A45	ENSG00000162241.8	Novel	Yes	Yes	Yes
SLC26A1	ENSG00000145217.9	Novel	Yes	Yes	Yes
SLC2A10	ENSG00000197496.4	Novel	Yes	Yes	Yes
SLC2A4RG	ENSG00000125520.9	Novel	Yes	Yes	Yes
SLC52A2	ENSG00000185803.4	Novel	Yes	Yes	Yes
SMARCD2	ENSG00000108604.11	Novel	Yes	Yes	Yes
SNRPC	ENSG00000124562.5	Novel	Yes	Yes	Yes
SSSCA1	ENSG00000173465.3	Novel	Yes	Yes	Yes
SSSCA1-AS1	ENSG00000260233.2	Novel	Yes	Yes	Yes
SYT8	ENSG00000149043.12	Novel	Yes	Yes	Yes
TAOK2	ENSG00000149930.13	Novel	Yes	Yes	Yes
TBC1D14	ENSG00000132405.14	Novel	Yes	Yes	Yes
TCF7	ENSG00000081059.15	Novel	Yes	Yes	Yes
TIGD3	ENSG00000173825.6	Novel	Yes	Yes	Yes
TINCR	ENSG00000223573.2	Novel	Yes	Yes	Yes
TMED4	ENSG00000158604.10	Novel	Yes	Yes	Yes
TMEM110	ENSG00000213533.7	Novel	Yes	Yes	Yes
TMEM170A	ENSG00000166822.8	Novel	Yes	Yes	Yes
TMEM185B	ENSG00000226479.3	Novel	Yes	Yes	Yes
TMEM256	ENSG00000205544.3	Novel	Yes	Yes	Yes
TMEM41A	ENSG00000163900.6	Novel	Yes	Yes	Yes
TNK1	ENSG00000174292.8	Novel	Yes	Yes	Yes
TP53RK	ENSG00000172315.5	Novel	Yes	Yes	Yes
TPD52L2	ENSG00000101150.13	Novel	Yes	Yes	Yes
TRA2A	ENSG00000164548.6	Novel	Yes	Yes	Yes
TRABD	ENSG00000170638.5	Novel	Yes	Yes	Yes
TRAPPC1	ENSG00000170043.7	Novel	Yes	Yes	Yes
UBE2B	ENSG00000119048.3	Novel	Yes	Yes	Yes
UBE2D3	ENSG00000109332.15	Novel	Yes	Yes	Yes
UCKL1	ENSG00000198276.9	Novel	Yes	Yes	Yes
UPF1	ENSG00000005007.8	Novel	Yes	Yes	Yes
VPS28	ENSG00000160948.9	Novel	Yes	Yes	Yes
YJEFN3	ENSG00000250067.7	Novel	Yes	Yes	Yes
ZBTB4	ENSG00000174282.7	Novel	Yes	Yes	Yes
ZGPAT	ENSG00000197114.7	Novel	Yes	Yes	Yes
ZNF141	ENSG00000131127.9	Novel	Yes	Yes	Yes
ZNF251	ENSG00000198169.4	Novel	Yes	Yes	Yes
ZNF512B	ENSG00000196700.3	Novel	Yes	Yes	Yes
ZNF517	ENSG00000197363.5	Novel	Yes	Yes	Yes
ZNF718	ENSG00000250312.2	Novel	Yes	Yes	Yes
ZNF721	ENSG00000182903.11	Novel	Yes	Yes	Yes
ZNF732	ENSG00000186777.7	Novel	Yes	Yes	Yes
ABCB9	ENSG00000150967.13	Known	Yes	Yes	Yes
ABCC5	ENSG00000114770.12	Known	Yes	Yes	Yes
AC010883.5	ENSG00000234936.1	Known	Yes	Yes	Yes
AC113189.5	ENSG00000233223.2	Known	Yes	Yes	Yes
ACADS	ENSG00000122971.4	Known	Yes	Yes	Yes
ACSL1	ENSG00000151726.9	Known	Yes	Yes	Yes
AKTIP	ENSG00000166971.12	Known	Yes	Yes	Yes
ANAPC5	ENSG00000089053.8	Known	Yes	Yes	Yes
ANK1	ENSG00000029534.15	Known	Yes	Yes	Yes
ANKFY1	ENSG00000185722.12	Known	Yes	Yes	Yes
AP3S2	ENSG00000157823.12	Known	Yes	Yes	Yes
APIP	ENSG00000149089.8	Known	Yes	Yes	Yes
ARAP1	ENSG00000186635.10	Known	Yes	Yes	Yes
ARFRP1	ENSG00000101246.15	Known	Yes	Yes	Yes
ARNT	ENSG00000143437.16	Known	Yes	Yes	Yes
ATG16L2	ENSG00000168010.6	Known	Yes	Yes	Yes
ATP1B2	ENSG00000129244.4	Known	Yes	Yes	Yes
ATP2A1	ENSG00000196296.9	Known	Yes	Yes	Yes
ATP5G1	ENSG00000159199.9	Known	Yes	Yes	Yes
ATXN7	ENSG00000163635.13	Known	Yes	Yes	Yes
BCAR1	ENSG00000050820.12	Known	Yes	Yes	Yes
BCL2	ENSG00000171791.10	Known	Yes	Yes	Yes
BEND3	ENSG00000178409.9	Known	Yes	Yes	Yes
BOP 1.00	ENSG00000170727.7	Known	Yes	Yes	Yes
C12orf43	ENSG00000157895.7	Known	Yes	Yes	Yes
C12orf65	ENSG00000130921.3	Known	Yes	Yes	Yes
C17orf58	ENSG00000186665.8	Known	Yes	Yes	Yes
C8orf37	ENSG00000156172.5	Known	Yes	Yes	Yes
CAMK2B	ENSG00000058404.15	Known	Yes	Yes	Yes
CARD9	ENSG00000187796.9	Known	Yes	Yes	Yes
CCDC47	ENSG00000108588.9	Known	Yes	Yes	Yes
CCDC67	ENSG00000165325.9	Known	Yes	Yes	Yes
CCDC92	ENSG00000119242.4	Known	Yes	Yes	Yes
CCND1	ENSG00000110092.3	Known	Yes	Yes	Yes
CD81	ENSG00000110651.7	Known	Yes	Yes	Yes
CDKN1B	ENSG00000111276.6	Known	Yes	Yes	Yes
CDKN1C	ENSG00000129757.8	Known	Yes	Yes	Yes
CDKN2B	ENSG00000147883.9	Known	Yes	Yes	Yes
CELF1	ENSG00000149187.13	Known	Yes	Yes	Yes
CENPE	ENSG00000138778.7	Known	Yes	Yes	Yes
CEP68	ENSG00000011523.9	Known	Yes	Yes	Yes
CISD2	ENSG00000145354.5	Known	Yes	Yes	Yes
COBLL1	ENSG00000082438.11	Known	Yes	Yes	Yes
COPB1	ENSG00000129083.8	Known	Yes	Yes	Yes
CPA1	ENSG00000091704.5	Known	Yes	Yes	Yes
CPEB3	ENSG00000107864.10	Known	Yes	Yes	Yes
CRY2	ENSG00000121671.7	Known	Yes	Yes	Yes
CTBP1	ENSG00000159692.11	Known	Yes	Yes	Yes
CTBP1-AS2	ENSG00000196810.4	Known	Yes	Yes	Yes
CTRB1	ENSG00000168925.6	Known	Yes	Yes	Yes
CTRB2	ENSG00000168928.8	Known	Yes	Yes	Yes
CTTNBP2	ENSG00000077063.6	Known	Yes	Yes	Yes
DBNL	ENSG00000136279.14	Known	Yes	Yes	Yes
DCAF16	ENSG00000163257.6	Known	Yes	Yes	Yes
DCUN1D4	ENSG00000109184.10	Known	Yes	Yes	Yes
DDX55	ENSG00000111364.11	Known	Yes	Yes	Yes
DGAT1	ENSG00000185000.5	Known	Yes	Yes	Yes
DGKG	ENSG00000058866.10	Known	Yes	Yes	Yes
DMGDH	ENSG00000132837.10	Known	Yes	Yes	Yes
DPY19L4	ENSG00000156162.12	Known	Yes	Yes	Yes
EHF	ENSG00000135373.8	Known	Yes	Yes	Yes
EIF4A1	ENSG00000161960.10	Known	Yes	Yes	Yes
EML2	ENSG00000125746.10	Known	Yes	Yes	Yes
EP300	ENSG00000100393.9	Known	Yes	Yes	Yes
ESRP1	ENSG00000104413.11	Known	Yes	Yes	Yes
EXOC6	ENSG00000138190.12	Known	Yes	Yes	Yes
FAM89B	ENSG00000176973.7	Known	Yes	Yes	Yes
FARSA	ENSG00000179115.6	Known	Yes	Yes	Yes
FGFRL1	ENSG00000127418.10	Known	Yes	Yes	Yes
FITM2	ENSG00000197296.5	Known	Yes	Yes	Yes
GAK	ENSG00000178950.12	Known	Yes	Yes	Yes
GATAD2A	ENSG00000167491.13	Known	Yes	Yes	Yes
GCDH	ENSG00000105607.8	Known	Yes	Yes	Yes
GCK	ENSG00000106633.11	Known	Yes	Yes	Yes
GDAP1L1	ENSG00000124194.11	Known	Yes	Yes	Yes
GLIS3	ENSG00000107249.17	Known	Yes	Yes	Yes
GMIP	ENSG00000089639.6	Known	Yes	Yes	Yes
GPSM1	ENSG00000160360.7	Known	Yes	Yes	Yes
HERC1	ENSG00000103657.9	Known	Yes	Yes	Yes
HIP1R	ENSG00000130787.9	Known	Yes	Yes	Yes
HMG20A	ENSG00000140382.10	Known	Yes	Yes	Yes
HMGA1	ENSG00000137309.15	Known	Yes	Yes	Yes
HMGB1	ENSG00000189403.10	Known	Yes	Yes	Yes
HNF1A	ENSG00000135100.13	Known	Yes	Yes	Yes
HNF4A	ENSG00000101076.12	Known	Yes	Yes	Yes
HSF1	ENSG00000185122.6	Known	Yes	Yes	Yes
IGF2	ENSG00000167244.13	Known	Yes	Yes	Yes
IMP3	ENSG00000177971.7	Known	Yes	Yes	Yes
INS	ENSG00000254647.2	Known	Yes	Yes	Yes
ITGA1	ENSG00000213949.4	Known	Yes	Yes	Yes
ITGA2	ENSG00000164171.6	Known	Yes	Yes	Yes
JMY	ENSG00000152409.8	Known	Yes	Yes	Yes
KCNJ11	ENSG00000187486.5	Known	Yes	Yes	Yes
KDM4B	ENSG00000127663.10	Known	Yes	Yes	Yes
KDM6B	ENSG00000132510.6	Known	Yes	Yes	Yes
KIF11	ENSG00000138160.4	Known	Yes	Yes	Yes
KIF9	ENSG00000088727.8	Known	Yes	Yes	Yes
KIF9-AS1	ENSG00000227398.3	Known	Yes	Yes	Yes
KLHDC10	ENSG00000128607.9	Known	Yes	Yes	Yes
KSR2	ENSG00000171435.9	Known	Yes	Yes	Yes
LCORL	ENSG00000178177.10	Known	Yes	Yes	Yes
LTBP3	ENSG00000168056.10	Known	Yes	Yes	Yes
MAEA	ENSG00000090316.11	Known	Yes	Yes	Yes
MAP2K7	ENSG00000076984.13	Known	Yes	Yes	Yes
MAP3K11	ENSG00000173327.3	Known	Yes	Yes	Yes
MARK3	ENSG00000075413.13	Known	Yes	Yes	Yes
MAU2	ENSG00000129933.16	Known	Yes	Yes	Yes
MEST	ENSG00000106484.10	Known	Yes	Yes	Yes
METTL15	ENSG00000169519.15	Known	Yes	Yes	Yes
MNX1	ENSG00000130675.10	Known	Yes	Yes	Yes
MPDU1	ENSG00000129255.10	Known	Yes	Yes	Yes
MPHOSPH9	ENSG00000051825.10	Known	Yes	Yes	Yes
MRPS30	ENSG00000112996.5	Known	Yes	Yes	Yes
NDUFAF6	ENSG00000156170.8	Known	Yes	Yes	Yes
NUDT3	ENSG00000272325.1	Known	Yes	Yes	Yes
OSER1	ENSG00000132823.6	Known	Yes	Yes	Yes
OSER1-AS1	ENSG00000223891.1	Known	Yes	Yes	Yes
PANX2	ENSG00000073150.9	Known	Yes	Yes	Yes
PCGF3	ENSG00000185619.13	Known	Yes	Yes	Yes
PDE6B	ENSG00000133256.8	Known	Yes	Yes	Yes
PDHX	ENSG00000110435.7	Known	Yes	Yes	Yes
PEAK1	ENSG00000173517.6	Known	Yes	Yes	Yes
PELO	ENSG00000152684.10	Known	Yes	Yes	Yes
PGAM2	ENSG00000164708.5	Known	Yes	Yes	Yes
PHLDA2	ENSG00000181649.5	Known	Yes	Yes	Yes
PITPNM2	ENSG00000090975.8	Known	Yes	Yes	Yes
PKIG	ENSG00000168734.9	Known	Yes	Yes	Yes
PLEKHA1	ENSG00000107679.10	Known	Yes	Yes	Yes
PLEKHF2	ENSG00000175895.3	Known	Yes	Yes	Yes
POLD2	ENSG00000106628.6	Known	Yes	Yes	Yes
POLM	ENSG00000122678.10	Known	Yes	Yes	Yes
PPARG	ENSG00000132170.15	Known	Yes	Yes	Yes
PPP2R2C	ENSG00000074211.9	Known	Yes	Yes	Yes
PRICKLE2	ENSG00000163637.7	Known	Yes	Yes	Yes
PRKRIP1	ENSG00000128563.9	Known	Yes	Yes	Yes
PSMD6	ENSG00000163636.6	Known	Yes	Yes	Yes
PTEN	ENSG00000171862.5	Known	Yes	Yes	Yes
PTGFRN	ENSG00000134247.9	Known	Yes	Yes	Yes
PTPN9	ENSG00000169410.5	Known	Yes	Yes	Yes
PTPRS	ENSG00000105426.10	Known	Yes	Yes	Yes
QSER1	ENSG00000060749.10	Known	Yes	Yes	Yes
RAB1A	ENSG00000138069.12	Known	Yes	Yes	Yes
RABEP2	ENSG00000177548.8	Known	Yes	Yes	Yes
RBL2	ENSG00000103479.10	Known	Yes	Yes	Yes
RBM6	ENSG00000004534.10	Known	Yes	Yes	Yes
RFC5	ENSG00000111445.9	Known	Yes	Yes	Yes
RNF212	ENSG00000178222.8	Known	Yes	Yes	Yes
RNF6	ENSG00000127870.12	Known	Yes	Yes	Yes
RP1-261G23.7	ENSG00000272114.1	Known	Yes	Yes	Yes
RP11-2E11.5	ENSG00000259920.1	Known	Yes	Yes	Yes
RREB1	ENSG00000124782.15	Known	Yes	Yes	Yes
SCYL1	ENSG00000142186.12	Known	Yes	Yes	Yes
SDCCAG3	ENSG00000165689.12	Known	Yes	Yes	Yes
SENP2	ENSG00000163904.8	Known	Yes	Yes	Yes
SETD9	ENSG00000155542.7	Known	Yes	Yes	Yes
SH2B2	ENSG00000160999.8	Known	Yes	Yes	Yes
SIN3A	ENSG00000169375.11	Known	Yes	Yes	Yes
SLC12A8	ENSG00000221955.6	Known	Yes	Yes	Yes
SLC22A18	ENSG00000110628.9	Known	Yes	Yes	Yes
SLC39A8	ENSG00000138821.8	Known	Yes	Yes	Yes
SLC5A1	ENSG00000100170.5	Known	Yes	Yes	Yes
SLC7A7	ENSG00000155465.14	Known	Yes	Yes	Yes
SNAPC4	ENSG00000165684.3	Known	Yes	Yes	Yes
SNF8	ENSG00000159210.5	Known	Yes	Yes	Yes
SPON2	ENSG00000159674.7	Known	Yes	Yes	Yes
SPRED2	ENSG00000198369.5	Known	Yes	Yes	Yes
SRGAP2	ENSG00000163486.8	Known	Yes	Yes	Yes
SSR1	ENSG00000124783.8	Known	Yes	Yes	Yes
STARD10	ENSG00000214530.3	Known	Yes	Yes	Yes
SUGP1	ENSG00000105705.11	Known	Yes	Yes	Yes
TBCE	ENSG00000116957.8	Known	Yes	Yes	Yes
TCEA2	ENSG00000171703.12	Known	Yes	Yes	Yes
TCF4	ENSG00000196628.9	Known	Yes	Yes	Yes
TCF7L2	ENSG00000148737.11	Known	Yes	Yes	Yes
TMED2	ENSG00000086598.6	Known	Yes	Yes	Yes
TMEM175	ENSG00000127419.12	Known	Yes	Yes	Yes
TP53INP1	ENSG00000164938.9	Known	Yes	Yes	Yes
TRA2B	ENSG00000136527.13	Known	Yes	Yes	Yes
TSSC4	ENSG00000184281.10	Known	Yes	Yes	Yes
TTPAL	ENSG00000124120.6	Known	Yes	Yes	Yes
UBE3C	ENSG00000009335.13	Known	Yes	Yes	Yes
USH1C	ENSG00000006611.11	Known	Yes	Yes	Yes
